__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-11-13,US,United States,TOTAL,97.75
HiringLabNationalPosting,2020-11-14,US,United States,TOTAL,97.5
HiringLabNationalPosting,2020-11-15,US,United States,TOTAL,97.42
HiringLabNationalPosting,2020-11-16,US,United States,TOTAL,97.3
HiringLabNationalPosting,2020-11-17,US,United States,TOTAL,97.2
HiringLabNationalPosting,2020-11-18,US,United States,TOTAL,97.12
HiringLabNationalPosting,2020-11-19,US,United States,TOTAL,97.03
HiringLabNationalPosting,2020-11-20,US,United States,TOTAL,96.94
HiringLabNationalPosting,2020-11-21,US,United States,TOTAL,97.08
HiringLabNationalPosting,2020-11-22,US,United States,TOTAL,97.08
HiringLabNationalPosting,2020-11-23,US,United States,TOTAL,97.12
HiringLabNationalPosting,2020-11-24,US,United States,TOTAL,97.13
HiringLabNationalPosting,2020-11-25,US,United States,TOTAL,97.06
HiringLabNationalPosting,2020-11-26,US,United States,TOTAL,97.04
HiringLabNationalPosting,2020-11-27,US,United States,TOTAL,96.93
HiringLabNationalPosting,2020-11-28,US,United States,TOTAL,96.81
HiringLabNationalPosting,2020-11-29,US,United States,TOTAL,96.61
HiringLabNationalPosting,2020-11-30,US,United States,TOTAL,96.43
HiringLabNationalPosting,2020-12-01,US,United States,TOTAL,96.16
HiringLabNationalPosting,2020-12-02,US,United States,TOTAL,95.94
HiringLabNationalPosting,2020-12-03,US,United States,TOTAL,95.72
HiringLabNationalPosting,2020-12-04,US,United States,TOTAL,95.56
HiringLabNationalPosting,2020-12-05,US,United States,TOTAL,95.47
HiringLabNationalPosting,2020-12-06,US,United States,TOTAL,95.39
HiringLabNationalPosting,2020-12-07,US,United States,TOTAL,95.31
HiringLabNationalPosting,2020-12-08,US,United States,TOTAL,95.33
HiringLabNationalPosting,2020-12-09,US,United States,TOTAL,95.34
HiringLabNationalPosting,2020-12-10,US,United States,TOTAL,95.3
HiringLabNationalPosting,2020-12-11,US,United States,TOTAL,95.36
HiringLabNationalPosting,2020-12-12,US,United States,TOTAL,95.25
HiringLabNationalPosting,2020-12-13,US,United States,TOTAL,95.33
HiringLabNationalPosting,2020-12-14,US,United States,TOTAL,95.37
HiringLabNationalPosting,2020-12-15,US,United States,TOTAL,95.37
HiringLabNationalPosting,2020-12-16,US,United States,TOTAL,95.36
HiringLabNationalPosting,2020-12-17,US,United States,TOTAL,95.26
HiringLabNationalPosting,2020-12-18,US,United States,TOTAL,95.1
HiringLabNationalPosting,2020-12-19,US,United States,TOTAL,95.04
HiringLabNationalPosting,2020-12-20,US,United States,TOTAL,94.85
HiringLabNationalPosting,2020-12-21,US,United States,TOTAL,94.65
