,label,lag,mae,rmse,model_path
10,"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.6416688912545674,1.6772463319189548,models_prophet/openings/prophet_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
11,"Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.6355218990336793,1.6712606454484937,models_prophet/openings/prophet_Job_Openings_Construction__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
12,"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.893895987890015,1.9118413098225648,models_prophet/openings/prophet_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
13,"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.8874366429752005,1.9054350104552293,models_prophet/openings/prophet_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
14,"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.8915441830969595,1.9095061794059591,models_prophet/openings/prophet_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
15,"Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.8867973316950817,1.9047999602844479,models_prophet/openings/prophet_Job_Openings_Durable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
16,"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.3020248235961598,1.40104562704488,models_prophet/openings/prophet_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
17,"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.2984429584961812,1.3977369719005566,models_prophet/openings/prophet_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
18,"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.3004673686607597,1.3996100079041316,models_prophet/openings/prophet_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
19,"Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.3013173934308255,1.4004045625529473,models_prophet/openings/prophet_Job_Openings_Federal__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
20,"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.738988254590224,0.8214542329069597,models_prophet/openings/prophet_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
21,"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.7353197035486905,0.8145528703124453,models_prophet/openings/prophet_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
22,"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.7271411191611613,0.7994608855018117,models_prophet/openings/prophet_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
23,"Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.7309182567921023,0.8063556872004061,models_prophet/openings/prophet_Job_Openings_Finance_and_insurance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
