__typename,dateString,countryCode,countryName,postingType,value,source_file,sectorName,sectorCode
HiringLabSectoralPosting,2020-05-17,US,United States,TOTAL,50.99,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-18,US,United States,TOTAL,50.92,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-19,US,United States,TOTAL,50.87,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-20,US,United States,TOTAL,51.27,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-21,US,United States,TOTAL,51.61,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-22,US,United States,TOTAL,51.7,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-23,US,United States,TOTAL,52.0,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-24,US,United States,TOTAL,52.13,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-25,US,United States,TOTAL,52.25,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-26,US,United States,TOTAL,52.32,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-27,US,United States,TOTAL,52.25,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-28,US,United States,TOTAL,52.11,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-29,US,United States,TOTAL,52.08,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-30,US,United States,TOTAL,52.2,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-31,US,United States,TOTAL,52.2,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-01,US,United States,TOTAL,52.14,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-02,US,United States,TOTAL,52.18,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-03,US,United States,TOTAL,52.27,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-04,US,United States,TOTAL,52.37,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-05,US,United States,TOTAL,52.47,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-06,US,United States,TOTAL,52.51,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-07,US,United States,TOTAL,52.67,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-08,US,United States,TOTAL,52.87,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-09,US,United States,TOTAL,53.11,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-10,US,United States,TOTAL,53.35,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-11,US,United States,TOTAL,53.62,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-12,US,United States,TOTAL,53.81,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-13,US,United States,TOTAL,53.96,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-14,US,United States,TOTAL,54.23,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-15,US,United States,TOTAL,54.52,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-16,US,United States,TOTAL,54.73,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-06-17,US,United States,TOTAL,54.92,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
