label,lag,mae,rmse,model_path
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.6497594356536864,0.9056153196198566,models_xgb/openings/xgb_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.9922128359476724,1.196569451666273,models_xgb/openings/xgb_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.848994239171346,1.0716207290612947,models_xgb/openings/xgb_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.7982493877410888,0.9162765683937432,models_xgb/openings/xgb_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5659682750701904,0.6423563727809352,models_xgb/openings/xgb_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.6279589335123698,0.7146338595715168,models_xgb/openings/xgb_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.5511624813079834,0.6709208936852222,models_xgb/openings/xgb_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.5448526541392008,0.6442766921955371,models_xgb/openings/xgb_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.21016035079956033,0.2333923883466796,models_xgb/openings/xgb_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.27401790618896466,0.2807203810990497,models_xgb/openings/xgb_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.15003104209899906,0.16298279180611305,models_xgb/openings/xgb_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.2503919760386147,0.26747282044567017,models_xgb/openings/xgb_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8481417655944824,0.8709080821205903,models_xgb/openings/xgb_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8592111428578694,0.9023187917527794,models_xgb/openings/xgb_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.8135017712910969,0.8829744939356708,models_xgb/openings/xgb_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8083465417226158,0.8562821361503821,models_xgb/openings/xgb_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.13115482330322248,0.17720829931017895,models_xgb/openings/xgb_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.23719847997029606,0.29860418119207344,models_xgb/openings/xgb_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.1606738408406576,0.18654434601076458,models_xgb/openings/xgb_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.34350191752115905,0.3927839648763303,models_xgb/openings/xgb_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5433425267537434,0.579850575667439,models_xgb/openings/xgb_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.48426319758097325,0.5479827214719762,models_xgb/openings/xgb_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.4553994496663411,0.48599887390211,models_xgb/openings/xgb_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4828762372334798,0.5310020873954866,models_xgb/openings/xgb_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8117510159810384,0.8424410507458217,models_xgb/openings/xgb_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8694021383921305,1.0039056150723618,models_xgb/openings/xgb_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.39414051373799647,0.48146308335164706,models_xgb/openings/xgb_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8585477352142333,0.9070806179105974,models_xgb/openings/xgb_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.42928433418273926,0.6038372017733297,models_xgb/openings/xgb_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.5063959757486979,0.6637659441386988,models_xgb/openings/xgb_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.4493473370869954,0.6438279666848052,models_xgb/openings/xgb_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4641880989074707,0.6160181662964773,models_xgb/openings/xgb_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.28033281962076817,0.3179232206186778,models_xgb/openings/xgb_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.1604157447814941,0.20105041992583994,models_xgb/openings/xgb_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.2361040274302164,0.25626193636957667,models_xgb/openings/xgb_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.22734627723693843,0.27800272075426663,models_xgb/openings/xgb_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.3608448187510172,0.3688450916474362,models_xgb/openings/xgb_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4745158036549886,0.49430729453394895,models_xgb/openings/xgb_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.5319848537445068,0.5639410412911465,models_xgb/openings/xgb_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.5349761724472045,0.5609402155079888,models_xgb/openings/xgb_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5593420028686523,0.7163681078125644,models_xgb/openings/xgb_Job_Openings_State_and_local_government_excluding_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.45423223177591954,0.5209007136904332,models_xgb/openings/xgb_Job_Openings_State_and_local_government_excluding_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.5100608825683594,0.6202161427744113,models_xgb/openings/xgb_Job_Openings_State_and_local_government_excluding_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8492039521535236,0.9220807438498632,models_xgb/openings/xgb_Job_Openings_State_and_local_government_excluding_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5008062680562336,0.618349979580824,models_xgb/openings/xgb_Job_Openings_Total_nonfarm__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.5351389408111572,0.6754379459120116,models_xgb/openings/xgb_Job_Openings_Total_nonfarm__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.4895970980326334,0.577204954073159,models_xgb/openings/xgb_Job_Openings_Total_nonfarm__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.5709176222483316,0.6248819223247085,models_xgb/openings/xgb_Job_Openings_Total_nonfarm__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)",0,0.6828171412150065,0.8225911446337086,models_xgb/openings/xgb_Job_Openings_Total_private__Rate_in_Percent_Monthly_Seasonally_Adjusted_(1_to_9_employees)_lag0.pkl
"Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)",1,0.7000001271565756,0.8888660582588294,models_xgb/openings/xgb_Job_Openings_Total_private__Rate_in_Percent_Monthly_Seasonally_Adjusted_(1_to_9_employees)_lag1.pkl
"Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)",2,0.5425895055135092,0.6812400365503612,models_xgb/openings/xgb_Job_Openings_Total_private__Rate_in_Percent_Monthly_Seasonally_Adjusted_(1_to_9_employees)_lag2.pkl
"Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)",3,0.7194860776265463,0.8619605547861237,models_xgb/openings/xgb_Job_Openings_Total_private__Rate_in_Percent_Monthly_Seasonally_Adjusted_(1_to_9_employees)_lag3.pkl
"Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)",0,0.6152963956197102,0.7043943433552279,models_xgb/openings/xgb_Job_Openings_Total_private__Rate_in_Percent_Monthly_Seasonally_Adjusted_(1000_to_4999_employees)_lag0.pkl
