label,lag,mae,rmse,order,model_path
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.5689171039130513,0.7513262329222887,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.5690225440378844,0.751414666636613,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.21369563804784056,0.2601158799197332,"(1, 1, 3)",models_arima/openings/arima_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.21386515563621933,0.2597609312182832,"(1, 1, 3)",models_arima/openings/arima_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.21356098727500125,0.2597292832518558,"(1, 1, 3)",models_arima/openings/arima_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.2808637840308051,0.33217401676367886,"(1, 1, 5)",models_arima/openings/arima_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.2975425578589054,0.4066234785030327,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.29647219391797874,0.40550830234158214,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.2981012708790501,0.40721442796347207,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.2976636905909157,0.40675108679230215,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
