Hires: Total nonfarm in Midwest region,Other separations: Total nonfarm in Midwest region,Hires: Total nonfarm in Northeast region,Job Openings: Total nonfarm in Northeast region,Layoffs and Discharges: Total nonfarm in Northeast region,Other separations: Total nonfarm in Northeast region,Quits: Total nonfarm in Northeast region,Other separations: Total nonfarm in South region,Hires: Total nonfarm in West region,Other separations: Total nonfarm in West region
1101.0,59.0,811.0,909.0,334.0,47.0,339.0,144.0,1194.0,74.0
940.0,75.0,658.0,887.0,418.0,72.0,351.0,133.0,941.0,76.0
1157.0,116.0,754.0,956.0,425.0,96.0,455.0,161.0,1142.0,133.0
1018.0,60.0,649.0,849.0,245.0,41.0,343.0,122.0,1060.0,102.0
1209.0,78.0,773.0,955.0,268.0,61.0,359.0,118.0,1056.0,69.0
1246.0,85.0,898.0,1028.0,337.0,62.0,351.0,150.0,1356.0,79.0
1413.0,78.0,898.0,971.0,279.0,43.0,400.0,148.0,1363.0,73.0
1381.0,80.0,1047.0,939.0,331.0,68.0,423.0,170.0,1485.0,91.0
1210.0,76.0,936.0,1092.0,316.0,65.0,495.0,143.0,1376.0,83.0
1274.0,89.0,916.0,1046.0,435.0,68.0,581.0,160.0,1344.0,67.0
1168.0,60.0,943.0,1100.0,375.0,68.0,506.0,128.0,1259.0,82.0
1289.0,74.0,900.0,1069.0,298.0,63.0,449.0,142.0,1282.0,76.0
1133.0,53.0,781.0,948.0,310.0,47.0,400.0,121.0,1166.0,66.0
844.0,67.0,703.0,956.0,411.0,55.0,370.0,162.0,905.0,90.0
1139.0,94.0,827.0,985.0,420.0,76.0,479.0,201.0,1191.0,95.0
894.0,58.0,658.0,1062.0,281.0,64.0,341.0,124.0,1004.0,75.0
1127.0,55.0,793.0,1024.0,241.0,68.0,381.0,129.0,1130.0,83.0
1252.0,67.0,1005.0,1192.0,272.0,66.0,452.0,128.0,1267.0,86.0
1416.0,95.0,1104.0,1063.0,248.0,54.0,456.0,137.0,1315.0,78.0
1524.0,79.0,1077.0,1028.0,343.0,63.0,465.0,160.0,1440.0,94.0
1333.0,55.0,981.0,1156.0,339.0,81.0,491.0,128.0,1373.0,91.0
1297.0,86.0,824.0,1164.0,470.0,70.0,584.0,154.0,1375.0,92.0
1211.0,73.0,920.0,1108.0,495.0,60.0,525.0,96.0,1286.0,73.0
1216.0,60.0,986.0,1149.0,310.0,53.0,477.0,131.0,1370.0,73.0
1060.0,55.0,730.0,1007.0,362.0,43.0,386.0,120.0,1206.0,62.0
