label,lag,mae,rmse,model_path
"Layoffs and Discharges: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.27765019066394825,0.346976732969138,models_arima/layoffs/arima_Layoffs_and_Discharges_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.27626990571217463,0.34601750679242915,models_arima/layoffs/arima_Layoffs_and_Discharges_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.27775126409077305,0.3471279292381936,models_arima/layoffs/arima_Layoffs_and_Discharges_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.13885333711061812,0.16735397280338457,models_arima/layoffs/arima_Layoffs_and_Discharges_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.13784959117399204,0.16689697458325994,models_arima/layoffs/arima_Layoffs_and_Discharges_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.13851450218738642,0.16720228299641074,models_arima/layoffs/arima_Layoffs_and_Discharges_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.1396736668324497,0.16777437254331581,models_arima/layoffs/arima_Layoffs_and_Discharges_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5968856911097981,0.6168870720455824,models_arima/layoffs/arima_Layoffs_and_Discharges_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.6035017191222288,0.6233894619896064,models_arima/layoffs/arima_Layoffs_and_Discharges_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.595365978076864,0.6153949814120803,models_arima/layoffs/arima_Layoffs_and_Discharges_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.6200529153796116,0.6397102536602157,models_arima/layoffs/arima_Layoffs_and_Discharges_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.1389655641895532,0.1619694015075862,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.13921530299622567,0.16222164080331586,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.13946664220601704,0.16247554339477643,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.13971960925880847,0.16273113853079488,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.3466169319977626,0.36801211168502485,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.35069423857140053,0.3725428143435698,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.3489039393111733,0.3705526152677283,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.35373706436008173,0.37592577981873204,models_arima/layoffs/arima_Layoffs_and_Discharges_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.26157407666723786,0.30479139950249323,models_arima/layoffs/arima_Layoffs_and_Discharges_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.2620477679462227,0.30558997905271884,models_arima/layoffs/arima_Layoffs_and_Discharges_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.2604838352995594,0.30235598135171715,models_arima/layoffs/arima_Layoffs_and_Discharges_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.2595134782128363,0.30023233568715085,models_arima/layoffs/arima_Layoffs_and_Discharges_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.33170926561915565,0.413039724527534,models_arima/layoffs/arima_Layoffs_and_Discharges_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.3410607243639454,0.42094224171143135,models_arima/layoffs/arima_Layoffs_and_Discharges_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.3482250967042864,0.4270085133610762,models_arima/layoffs/arima_Layoffs_and_Discharges_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.34402258982235123,0.4234133225934602,models_arima/layoffs/arima_Layoffs_and_Discharges_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5266631013329096,0.5572410698263501,models_arima/layoffs/arima_Layoffs_and_Discharges_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
